Metric,Value
Total_Trades,2
Winning_Trades,1
Losing_Trades,1
Win_Rate_Percent,50.0
Average_Win_Percent,59.7665597908548
Average_Loss_Percent,-3.660495201394798
Profit_Factor,16.327452025638856
Average_Days_Held,455.0
Best_Trade_Percent,59.7665597908548
Worst_Trade_Percent,-3.660495201394798
Long_Trades,2
Long_Win_Rate,50.0
Short_Trades,0
Short_Win_Rate,0
Total_PnL_Percent,56.106064589460004
Total_Weight_Impact,0.2805303229473
Portfolio_Return_Sum,0.2805303229473
Portfolio_Return_Approx_Compound,0.28053032294729996
Stop_Loss_Triggers,0
Stop_Loss_Percentage,Disabled
Stop_Loss_Count,0
Avg_Stop_Loss_Days,0
Avg_Stop_Loss_PnL,0
