Asset,Strategy,Trade_Type,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Weight,Days_Held,PnL_Percent,Weight_Impact,Trade_Result,Status
BTC-USD,alpha999,LONG,2024-04-08,2024-05-19,71631.359375,66278.3671875,1.0,41,-7.472973058456633,-0.07472973058456633,LOSS,
ETH-USD,alpha999,LONG,2024-04-08,2024-05-19,3695.292724609375,3071.843017578125,1.0,41,-16.87145656633072,-0.16871456566330723,LOSS,
BTC-USD,alpha999,SHORT,2024-05-19,2024-05-20,66278.3671875,71448.1953125,-1.0,1,-7.235771459850337,-0.07235771459850338,LOSS,
ETH-USD,alpha999,SHORT,2024-05-19,2024-05-20,3071.843017578125,3663.85546875,-1.0,1,-16.158182445276758,-0.1615818244527676,LOSS,
BTC-USD,alpha999,LONG,2024-05-20,2024-06-11,71448.1953125,67332.03125,1.0,22,-5.761046929872371,-0.05761046929872372,LOSS,
ETH-USD,alpha999,LONG,2024-05-20,2024-06-11,3663.85546875,3498.33056640625,1.0,22,-4.517779256183985,-0.045177792561839854,LOSS,
BTC-USD,alpha999,LONG,2024-07-23,2024-07-24,65927.671875,65372.1328125,1.0,1,-0.8426492953570563,-0.008426492953570563,LOSS,
ETH-USD,alpha999,LONG,2024-07-23,2024-07-24,3481.995849609375,3336.33935546875,1.0,1,-4.183132330756956,-0.04183132330756956,LOSS,
BTC-USD,alpha999,LONG,2024-08-12,2024-09-06,59354.515625,53948.75390625,1.0,25,-9.107582905576106,-0.09107582905576106,LOSS,
ETH-USD,alpha999,LONG,2024-08-12,2024-09-06,2724.431884765625,2223.87646484375,1.0,25,-18.37283665342715,-0.1837283665342715,LOSS,
ETH-USD,alpha999,SHORT,2024-09-06,2024-09-20,2223.87646484375,2561.072021484375,-1.0,14,-13.166187979562928,-0.13166187979562927,LOSS,
BTC-USD,alpha999,SHORT,2024-09-06,2024-09-20,53948.75390625,63192.9765625,-1.0,14,-14.62856025955218,-0.1462856025955218,LOSS,
ETH-USD,alpha999,LONG,2024-09-20,2024-10-05,2561.072021484375,2415.6318359375,1.0,15,-5.678879169613483,-0.05678879169613483,LOSS,
BTC-USD,alpha999,LONG,2024-09-20,2024-10-05,63192.9765625,62089.94921875,1.0,15,-1.7454904069268973,-0.017454904069268973,LOSS,
ETH-USD,alpha999,SHORT,2024-10-05,2024-11-09,2415.6318359375,3131.14453125,-1.0,35,-22.851474538189287,-0.22851474538189287,LOSS,
BTC-USD,alpha999,SHORT,2024-10-05,2024-11-09,62089.94921875,76778.8671875,-1.0,35,-19.131459614894442,-0.19131459614894442,LOSS,
ETH-USD,alpha999,SHORT,2024-11-23,2024-11-27,3396.223388671875,3657.249267578125,-1.0,4,-7.137218707520709,-0.0713721870752071,LOSS,
ETH-USD,alpha999,LONG,2024-11-27,2025-01-12,3657.249267578125,3265.951171875,1.0,46,-10.699245992665062,-0.10699245992665063,LOSS,
BTC-USD,alpha999,LONG,2024-11-27,2025-01-12,95962.53125,94488.4375,1.0,46,-1.5361138673590347,-0.015361138673590347,LOSS,
ETH-USD,alpha999,LONG,2025-03-24,2025-04-02,2077.47900390625,1795.313232421875,1.0,9,-13.582123860401152,-0.13582123860401152,LOSS,
BTC-USD,alpha999,LONG,2025-03-24,2025-04-02,87498.9140625,82485.7109375,1.0,9,-5.729446106518643,-0.05729446106518643,LOSS,
BTC-USD,alpha999,SHORT,2025-04-02,2025-04-09,82485.7109375,82573.953125,-1.0,7,-0.10686443383232103,-0.0010686443383232103,LOSS,
BTC-USD,alpha999,LONG,2025-04-09,2025-04-10,82573.953125,79626.140625,1.0,1,-3.56990599146636,-0.0356990599146636,LOSS,
ETH-USD,alpha999,LONG,2025-04-09,2025-04-10,1668.0400390625,1522.518798828125,1.0,1,-8.724085563087758,-0.08724085563087758,LOSS,
ETH-USD,alpha999,SHORT,2025-04-10,2025-04-18,1522.518798828125,1588.9246826171875,-1.0,8,-4.179297138218185,-0.041792971382181854,LOSS,
BTC-USD,alpha999,SHORT,2025-04-10,2025-04-18,79626.140625,84450.8046875,-1.0,8,-5.712987674129433,-0.057129876741294335,LOSS,
ETH-USD,alpha999,SHORT,2025-05-07,2025-05-08,1811.606689453125,2206.5146484375,-1.0,1,-17.897364029013872,-0.1789736402901387,LOSS,
BTC-USD,alpha999,SHORT,2025-05-07,2025-05-08,97032.3203125,103241.4609375,-1.0,1,-6.014192911081406,-0.06014192911081406,LOSS,
BTC-USD,alpha999,SHORT,2025-06-08,2025-06-29,105793.6484375,108385.5703125,-1.0,21,-2.3913901707827923,-0.023913901707827923,LOSS,OPEN
